player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2021,RS,MIA,1280,604,-3.650429496803319,3.158173731726125,-.4922557650771937,-3.734018927441299,-2.641424258249969,-6.375443185691268,-3.858311563507795,2.099949913733748,-1.758361649774047,.307137974824232,.307137974824232,0,-3.449633863571838,1.568772708534987,-1.880861155036851,.5133523182244252
Jaylen Adams,adamsja01,2021,RS,MIL,41,18,-12.41607699656227,-3.134067685082239,-15.55014468164451,-25.64002954655025,7.651292673687398,-17.98873687286286,-16.05071328222383,-1.182600739473112,-17.23331402169694,-.1306909134627215,-.1306909134627215,0,-11.86955885186511,-3.992549840066996,-15.86210869193211,-1.759392799621642
Steven Adams,adamsst01,2021,RS,NOP,2745,1341,-1.318741781744975,1.319365806761297,.0006240250163223,2.956460800119398,-2.950034038928302,.0064267611910958,-.5313862339189299,.5643929418845224,.0330067079655925,1.882463429781599,1.882463429781599,0,-.355165530245752,1.185636684799686,.8304711545539341,-1.14570832260645
Bam Adebayo,adebaba01,2021,RS,MIA,3147,1541,.2474530503455499,1.89303776795268,2.14049081829823,1.550037632953938,2.503935825911416,4.053973458865354,.593093729067699,2.112408045444463,2.705501774512162,4.273175917998588,4.273175917998588,0,.5106494567035673,1.4010527651694,1.911702221872967,-.3775000106304864
LaMarcus Aldridge,aldrila01,2021,RS,SAS,1138,544,-3.084109648721407,-.4918983353102884,-3.576007984031696,-1.768050187214773,-3.214764142277017,-4.98281432949179,-2.970138724472452,-1.076440742336413,-4.046579466808865,-.3582835628158403,-.3582835628158403,0,-3.205620056236793,-.7070029734830827,-3.912623029719876,-.4433844485149679
LaMarcus Aldridge,aldrila01,2021,RS,BRK,220,108,-1.286517950458962,5.280895110434925,3.994377159975964,6.739567210269681,4.364918930721439,11.10448614099112,.2156650218698082,5.429237626766648,5.644902648636457,.4587199793257514,.4587199793257514,0,.3500648776153664,3.269712424064738,3.619777301680104,-.8408021524894924
Nickeil Alexander-Walker,alexani01,2021,RS,NOP,1784,851,-1.101596323938509,1.142955474392587,.041359150454078,-4.173375981118563,1.675532017615814,-2.497843963502749,-1.854508498216376,1.372157324896596,-.4823511733197801,.9904187886132492,.9904187886132492,0,-.7952059081501062,1.222119154976488,.4269132468263823,.5998922496745815
Ty-Shon Alexander,alexaty01,2021,RS,PHO,32,16,-.192391714690887,-4.624242173511782,-4.816633888202668,3.730823838955351,-1.295018154550767,2.435805684404584,.52337236806743,-4.282396160660111,-3.759023792592681,-.0080881188989086,-.0080881188989086,0,.732699365085553,-4.940399014976359,-4.207699649890806,-1.823051957409972
Grayson Allen,allengr01,2021,RS,MEM,1945,912,.8756874574550702,.9157908669453079,1.791478324400378,-1.012878080279962,-.2465577509907327,-1.259435831270694,.5354891082481441,.7155194642911707,1.251008572539315,1.865379966692473,1.865379966692473,0,.8949593978248915,.3299504776185962,1.224909875443488,.2006985505637406
Jarrett Allen,allenja01,2021,RS,CLE,1940,942,-.2171913282229418,2.255020081347914,2.037828753124972,-1.713924118719839,-2.219048461545,-3.932972580264839,-.4688202593996816,1.467853903230147,.9990336438304654,1.795708326536471,1.795708326536471,0,-1.021902565871635,1.220152319088495,.1982497532168608,-.3422643217364048
Jarrett Allen,allenja01,2021,RS,BRK,690,320,.9984777509437009,4.65255067643987,5.651028427383571,1.939938504669047,2.859617945365493,4.79955645003454,1.199192265425499,4.58398723910696,5.783179504532459,1.402727875026767,1.402727875026767,0,1.826763562022504,3.008457672241109,4.835221234263614,.6932486148904895
Al-Farouq Aminu,aminual01,2021,RS,CHI,28,12,-10.92750979630313,-2.55520490473439,-13.48271470103752,8.74726648634441,6.249268170125264,14.99653465646967,-7.420976066289809,-.7948396874131421,-8.215815753702952,-.0340114442102298,-.0340114442102298,0,-5.709503650039903,-1.949035535888009,-7.658539185927912,1.651791955400711
Al-Farouq Aminu,aminual01,2021,RS,ORL,753,367,-3.368651122506294,3.739059431537063,.3704083090307693,-2.908259336217718,-.0569692250135049,-2.965228561231223,-3.42399600306152,3.190506672096718,-.2334893309648018,.4722016272553957,.4722016272553957,0,-3.011109662244725,2.159325115486626,-.8517845467580991,.2145931833952575
Kyle Anderson,anderky01,2021,RS,MEM,2799,1308,1.172610392922618,1.626281118380097,2.798891511302715,-3.399776468862217,1.869785505013449,-1.529990963848767,.2918118637653564,1.761726974561714,2.053538838327071,3.218358088451222,3.218358088451222,0,.4306646894715554,1.488117565412358,1.918782254883913,.4017474432958277
Giannis Antetokounmpo,antetgi01,2021,RS,MIL,3314,1529,4.813341702989871,1.429705717503336,6.243047420493207,2.352693088839142,4.688485565340248,7.04117865417939,4.449747054247579,2.169128130079065,6.618875184326644,7.423219817491839,7.423219817491839,0,4.350111845948083,2.047156417372227,6.39726826332031,1.582956253673579
Kostas Antetokounmpo,antetko01,2021,RS,LAL,84,36,-12.74863111418702,3.698166142678573,-9.050464971508449,-9.065408292330227,8.271491413238836,-.7939168790913911,-12.76982278087142,4.74693192240695,-8.022890858464475,-.0992056555144839,-.0992056555144839,0,-10.62932277487709,.7923707362701068,-9.836952038606984,2.457340226209342
